Age,Income,Loan_Amount,Credit_History,Target_Default
0.9280496435003733,1.6932110406959888,-0.08107186312330907,1,1
0.2271058039985809,-1.4657374325930368,0.52086405854572,0,0
-0.7542155713039286,-0.85776065467696,-0.08093645844867875,0,0
1.2084271793010903,1.3809496422274954,-1.0596917511504094,0,0
-1.2448762589551832,0.20518550942477412,-1.0771796804845455,2,0
-0.3336492676028531,-0.035153345408159495,0.5100832124769884,1,0
0.9280496435003733,1.5680034137098513,0.29714333111789204,1,0
-0.4738380355032116,0.032712061017297484,0.08820819683904561,1,0
-0.19346049970249457,1.0113631249059878,0.3004238808870578,1,0
-1.0345931071046455,-1.4934564675187887,-1.6328989605175208,2,0
-1.0345931071046455,0.15137601744066273,0.36064053107030486,0,0
-0.12336611575231533,1.3312163100794074,1.4578512371466603,1,1
0.7177664916498356,0.7767554537161598,0.272583916939829,0,0
0.9981440274505526,0.28555390011213305,-0.9255367720688412,1,0
-0.12336611575231533,-1.7410587304385459,0.08544688423568254,1,0
-1.5953481787060795,-0.009654129358053045,-0.3666634231147801,1,1
-0.2635548836526738,-1.1300638352813115,-0.3319316742824613,2,1
-1.6654425626562588,1.518906219165303,-1.494980897335989,1,1
-0.12336611575231533,0.5122286094242382,-0.5457281350408598,0,0
1.2785215632512696,0.8381370947574237,-0.6590070813192936,1,0
0.29720018794876013,-0.2722487799943634,-0.08498884724809165,2,1
0.8579552595501941,0.8491135947795716,0.5601183882804001,2,0
-1.6654425626562588,-0.7868041484170937,-0.7450671331918537,1,0
-0.3336492676028531,1.3244225736811788,1.2517649985107864,0,1
0.5074833397992978,-0.12689759030770678,-1.0890757170066767,0,0
-0.9644987231544663,1.139253844179019,0.4689883794995059,0,0
-0.2635548836526738,0.6301034928098901,-1.6312664759895836,0,0
1.2785215632512696,-1.3531662926624852,-0.7479629149073862,0,0
-0.05327173180213609,-0.9759215232243709,1.5811631552558465,1,0
1.6289934830021657,-0.5003122086510957,-0.41279104238436143,0,0
0.0869170360982224,-0.9179386979514234,-1.05217216787088,1,1
1.138332795350911,0.07991396321742901,1.2105684051240946,1,0
0.15701142004840166,0.37826577939411915,-0.8655191088243944,1,1
-0.6841211873537493,-1.2017042458419862,0.6498221680728151,0,0
-0.7542155713039286,0.40236459068438674,-0.8841901288566888,0,0
1.4888047151018073,-1.1664440179590285,-0.6252931164949255,1,1
1.2785215632512696,-1.3639201547737585,-1.4547575048076686,0,1
-1.5953481787060795,-0.09559010787555455,-0.17094163328619172,1,0
0.7878608756000148,1.2461944590431124,0.9480655911053145,1,1
-1.3149706429053625,-0.802539482532367,0.9849250608559339,1,1
-0.3336492676028531,-0.09916276982105475,-1.0928511793176614,0,1
-1.174781875005004,1.233304421028235,1.1560732591368592,1,0
0.9280496435003733,-1.2855874864206405,0.8469739291397262,2,1
-0.5439324194533908,-0.1670099305981988,1.3578935488500328,1,1
-1.5252537947559002,-0.10116487096065163,1.5731172821088861,1,1
-0.05327173180213609,-1.362595602709153,0.8882855607259378,0,0
-0.8243099552541078,-0.2776648674413233,-1.5956456189708603,2,0
1.699087866952345,0.27958203791712416,1.5514187819531011,0,0
-1.174781875005004,-0.80636348340856,-1.4353780121102677,0,0
0.016822652148043158,-1.2276220867668681,-0.7080820821724436,0,1
-1.6654425626562588,-0.1373058101374563,1.6563373261818524,2,0
-0.4037436515530323,-1.304711795954578,1.5746362757136814,1,0
0.15701142004840166,0.43539556935661583,1.0777147934256464,2,1
1.4888047151018073,1.4242318051496121,-0.39143283508214494,1,0
-1.3149706429053625,1.5532094730446115,0.6629822214459731,0,0
1.2785215632512696,0.16217088100881893,0.5553764899472997,1,0
-1.2448762589551832,-0.9029567656063752,0.5985287327258284,2,0
1.4888047151018073,1.6293227325366528,1.3457344753437008,1,0
0.6476721076996563,0.086359597246721,0.09048859435433161,0,1
-0.8243099552541078,1.121542649856554,0.4012546648587397,0,0
-0.6140268034035701,-0.8400974320590481,-0.7419339704934522,1,0
0.7177664916498356,-1.2770729188770322,-0.550103472805143,0,0
1.699087866952345,0.1057211002087268,-1.2088641629554058,1,0
0.9981440274505526,-0.7795833818454286,0.6761184899427212,2,0
-1.5252537947559002,0.2581069098527997,0.7295339968500714,0,0
-1.6654425626562588,0.23205663422218575,-1.329995788732623,1,0
-1.3850650268555418,1.6665963369598504,-1.3996008082110585,1,1
1.138332795350911,1.2234407005458916,-0.4332943614963396,1,0
-1.5252537947559002,0.5315755568690504,-0.3584468098187045,1,0
0.2271058039985809,-0.8507030739036893,0.09691504486463579,1,1
-0.5439324194533908,-1.7083842594339145,-1.179091830728348,1,0
0.016822652148043158,-0.5139601585964555,0.47805128100781386,1,0
1.2785215632512696,0.49475296847156597,-0.3399582604494583,1,0
0.5775777237494771,0.688297475585785,0.8147824123046242,1,0
-1.1046874910548248,-1.5038212258042423,-0.09863917133393578,2,0
0.7177664916498356,1.0279986460071273,-0.5630661584822215,1,0
-0.8243099552541078,0.567293566018107,-0.4276873917354456,1,0
0.3672945718989394,-0.6263455619273269,-1.6703315342417882,1,0
1.5588990990519866,0.7235827143574415,-0.9061756307889426,1,0
-0.7542155713039286,-1.682151527320171,-0.35753578788081186,1,0
-1.2448762589551832,1.4462942790837856,1.5312523013102206,1,1
-0.8243099552541078,1.3749857753165786,0.02740538079086956,1,1
-0.19346049970249457,-0.6259552280578008,0.5748375205114858,0,1
0.9981440274505526,-0.43082765469332907,-1.500315330555387,0,0
-0.3336492676028531,1.4835881792281402,-0.7747960697139943,2,0
-0.6841211873537493,-1.3597263207564807,1.0399494473306692,0,0
1.3486159472014487,-1.1785330925136965,1.1693263649917058,1,0
-0.5439324194533908,-1.225969523047199,-1.4598707854545772,0,0
1.4888047151018073,-1.479134248614988,-0.8407737695988121,1,0
-0.12336611575231533,-1.3332012482551616,-0.614326129479645,1,0
0.016822652148043158,-0.689347170530038,-1.6404014158073812,2,0
-0.05327173180213609,0.4176388634170107,0.5311767275691117,0,1
1.3486159472014487,-1.730344024718596,-0.36759247262163103,1,0
1.068238411400732,-0.8186542851310924,-0.36845203862417386,0,0
0.2271058039985809,0.5741311739752004,-0.5000976952529067,1,0
-0.7542155713039286,-1.1765801931223594,-0.72257937815078,1,0
1.3486159472014487,-1.4984022682553007,-0.26330374184492705,1,0
-1.7355369466064379,-0.28646890527052543,0.3464341590341386,0,0
-0.05327173180213609,-0.9717510600375165,-1.2014296438934757,1,0
-1.3149706429053625,1.0420160190790029,1.5397734042041493,0,1
-1.174781875005004,0.6723101875179658,0.6115078267291443,1,1
-0.12336611575231533,1.2892896553218427,1.6863153742007948,1,1
-1.7355369466064379,-0.8233848282189685,1.090786328196734,1,1
1.2785215632512696,-1.0939641025686744,-0.9544404345509482,0,0
-1.2448762589551832,-0.7050925500022477,-1.3960597762628735,1,0
-0.12336611575231533,-0.047493348878951555,0.46786124263314405,1,0
-1.0345931071046455,1.1182740137138412,0.11236204469030611,1,0
-0.6140268034035701,1.4540638501558296,-1.4629672813011454,1,0
-1.2448762589551832,0.46400495091858224,0.052487018737975885,1,1
